SID,Days online 2,Views 2,Contributions 2,Questions 2,Days online 3,Views 3,Contributions 3,Questions 3,Days online 4,Views 4,Contributions 4,Questions 4,Days online 5,Views 5,Contributions 5,Questions 5,Days online,Views,Contributions,Questions
300773633.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,3.0,1.0
315500979.0,5.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,1.0
317547296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
319549896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
320250819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326285587.0,1.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,0.0,0.0,3.0,50.0,1.0,1.0
330794979.0,4.0,2.0,1.0,0.0,2.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,8.0,70.0,1.0,0.0
333306652.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,2.0,4.0,6.0,1.0,1.0,18.0,8.0,3.0,3.0
352120481.0,2.0,0.0,0.0,0.0,5.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,31.0,1.0,0.0
360594548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,8.0,9.0,0.0,0.0
363393232.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
384087855.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,1.0
388963652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0
394589352.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,1.0
396913155.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,9.0,1.0,0.0,12.0,11.0,3.0,2.0
